utterance	fragment	start	end	speaker	text
37	0	00:01:31.956	00:01:34.280	Simon Ashcroft	Elena, I don't know if you heard me. I've got, sorry,
37	1	00:01:34.280	00:01:37.877	Simon Ashcroft	I've got stuff down at the moment I've got to look into. So I'm just letting you,
37	2	00:01:37.877	00:01:40.333	Simon Ashcroft	I've got to run. If you can look into something else or
37	3	00:01:40.333	00:01:43.316	Simon Ashcroft	you can do something else that doesn't involve me, that'd be great.
38	0	00:01:43.716	00:01:46.076	Elena Marchetti	This is the Amara thing, anyway. See you later.
40	0	00:01:45.796	00:01:47.796	Simon Ashcroft	Excellent. See you.
42	0	00:01:48.196	00:01:51.636	Rafael Costa (Vendor)	Yeah, okay, thanks. So, okay, yeah.
43	0	00:01:49.956	00:01:54.596	Elena Marchetti	We just need Daniel's agreement that this will satisfy that requirement, that's all.
44	0	00:01:54.436	00:01:55.396	Rafael Costa (Vendor)	Okay, sure, sure.
45	0	00:01:54.596	00:02:00.595	Martin Vasquez	No, no, Daniel just needs to say that, yes, everything's perfect and Ash being not
45	1	00:02:00.595	00:02:05.716	Martin Vasquez	here has to implement all of the changes that he wants, because he...
46	0	00:02:05.556	00:02:09.716	Daniel Okonkwo	Everything's perfect and Luck's not being here. He has to implement all the changes.
47	0	00:02:09.876	00:02:11.876	Martin Vasquez	There you go, exactly, yep.
48	0	00:02:10.916	00:02:12.596	Daniel Okonkwo	What for what?
49	0	00:02:11.916	00:02:14.436	Elena Marchetti	Like it's... Yeah, we got an echo.
50	0	00:02:14.916	00:02:15.556	Rafael Costa (Vendor)	Yeah.
53	0	00:02:15.516	00:02:19.329	Martin Vasquez	Yeah, that's weird, is that? I think my noise suppression isn't on,
53	1	00:02:19.329	00:02:21.796	Martin Vasquez	probably, I don't know. I'll figure it out.
54	0	00:02:24.276	00:02:28.179	Rafael Costa (Vendor)	Yeah, so okay, maybe we hopefully we can do this one.
54	1	00:02:28.179	00:02:30.276	Rafael Costa (Vendor)	Okay, let me share my screen.
61	0	00:02:31.716	00:02:35.666	Rafael Costa (Vendor)	So basically for to support the other cases,
61	1	00:02:35.666	00:02:40.845	Rafael Costa (Vendor)	maybe just a bit of background of what we were discussing.
61	2	00:02:40.845	00:02:45.848	Rafael Costa (Vendor)	So we are going to support the default mapped templates.
61	3	00:02:45.848	00:02:50.676	Rafael Costa (Vendor)	And basically for these ones, we don't have tagging or
66	0	00:02:51.076	00:02:55.354	Rafael Costa (Vendor)	or anything. So, but for the legacy services,
66	1	00:02:55.354	00:03:02.889	Rafael Costa (Vendor)	which maybe they are already there in the systems and we need to migrate them to
66	2	00:03:02.889	00:03:09.493	Rafael Costa (Vendor)	the INVENTORY, the what we need to do, the changes to the model are basically
66	3	00:03:09.493	00:03:10.516	Rafael Costa (Vendor)	two things.
67	0	00:03:11.156	00:03:16.836	Rafael Costa (Vendor)	The first thing is basically on the HANDOFF, just open this one.
72	0	00:03:18.916	00:03:23.406	Rafael Costa (Vendor)	On the on the Peter side, we will have now we have extended the
72	1	00:03:23.406	00:03:28.692	Rafael Costa (Vendor)	enum of the SEGMENT-TAG tag mode to support the four different types of SEGMENT-TAG modes,
72	2	00:03:28.692	00:03:33.906	Rafael Costa (Vendor)	so these are first to change, and the second change is basically on the
72	3	00:03:33.906	00:03:34.196	Rafael Costa (Vendor)	TRANSPORT-CIRCUIT.
77	0	00:03:47.876	00:03:48.036	Elena Marchetti	Yeah.
84	0	00:03:35.556	00:03:40.558	Rafael Costa (Vendor)	We will have now the HANDOFF, the HANDOFF SEGMENT-TAG coming as well,
84	1	00:03:40.558	00:03:45.560	Rafael Costa (Vendor)	so in case we are using a specific tagged SEGMENT-TAG tagged,
84	2	00:03:45.560	00:03:50.654	Rafael Costa (Vendor)	then the SEGMENT-TAG itself will be stored in the HANDOFF SEGMENT-TAG ID.
84	3	00:03:50.654	00:03:57.657	Rafael Costa (Vendor)	If we are using a priority tagged, then I think it's a priority tag is using
84	4	00:03:57.657	00:03:58.476	Rafael Costa (Vendor)	specific.
91	0	00:03:58.996	00:04:05.273	Rafael Costa (Vendor)	value for the real idea I think on number one or something like that.
91	1	00:04:05.273	00:04:12.447	Rafael Costa (Vendor)	So these are the two changes basically in the model that will support the other
91	2	00:04:12.447	00:04:18.276	Rafael Costa (Vendor)	types of legacy products that we from NETCO for it to the tagging.
96	0	00:04:18.756	00:04:24.583	Rafael Costa (Vendor)	Only the the HANDOFF SEGMENT-TAG on the ACCESS-CIRCUIT, and this will only be populated when we
96	1	00:04:24.583	00:04:29.556	Rafael Costa (Vendor)	have the the the other other types of SEGMENT-TAG mode and on the HANDOFF.
99	0	00:04:33.716	00:04:37.725	Rafael Costa (Vendor)	Yeah, this is basically the changes we will
99	1	00:04:37.725	00:04:40.276	Rafael Costa (Vendor)	extend. Any concern on that?
100	0	00:04:41.396	00:04:43.796	Daniel Okonkwo	That kind of makes sense, so.
101	0	00:04:45.956	00:04:49.303	Elena Marchetti	All right, so that that covers off on that legacy,
101	1	00:04:49.303	00:04:51.076	Elena Marchetti	those legacy services then.
104	0	00:04:52.076	00:04:53.156	Elena Marchetti	Recording the attacking.
105	0	00:04:59.556	00:04:59.716	Daniel Okonkwo	Yeah.
106	0	00:04:55.396	00:04:58.599	Elena Marchetti	Is that right? And the other thing that, is that right, Daniel?
106	1	00:04:58.599	00:05:01.956	Elena Marchetti	So you're okay with that in terms of that particular requirement?
107	0	00:05:04.596	00:05:05.156	Elena Marchetti	Cool.
108	0	00:05:00.916	00:05:04.217	Daniel Okonkwo	Yeah, I mean, it has the information we require,
108	1	00:05:04.217	00:05:04.756	Daniel Okonkwo	or yeah.
109	0	00:05:05.916	00:05:07.876	Elena Marchetti	So the other side we talked about Rafael.
110	0	00:05:09.716	00:05:10.036	Elena Marchetti	Yeah.
111	0	00:05:06.516	00:05:10.516	Daniel Okonkwo	There's no fundamental difference to actually do it though, so...
112	0	00:05:11.996	00:05:12.996	Elena Marchetti	Sorry, what was that, Daniel?
113	0	00:05:16.996	00:05:18.036	Elena Marchetti	Yeah, yeah.
114	0	00:05:19.476	00:05:19.716	Martin Vasquez	Yeah.
115	0	00:05:13.556	00:05:17.264	Daniel Okonkwo	There's no actual difference to how we deploy like configure or anything,
115	1	00:05:17.264	00:05:19.719	Daniel Okonkwo	so that's completely transparent to us. So yeah,
115	2	00:05:19.719	00:05:22.676	Daniel Okonkwo	it just needs to be on the model somewhere, which is fine.
116	0	00:05:21.996	00:05:27.032	Martin Vasquez	The other thing that the other thing that comes to mind for that is, and again,
116	1	00:05:27.032	00:05:31.565	Martin Vasquez	I don't I don't know too much about inherited legacy PRIORITY-MARK mapped stuff.
116	2	00:05:31.565	00:05:33.076	Martin Vasquez	I know that we've got...
117	0	00:05:34.276	00:05:37.321	Martin Vasquez	Two CLASS two services in CONFIG-MGMT, but that's about it,
117	1	00:05:37.321	00:05:42.046	Martin Vasquez	but apparently we imported a bunch manually into the portal or something or
117	2	00:05:42.046	00:05:42.916	Martin Vasquez	other, anyway.
118	0	00:05:45.156	00:05:48.516	Martin Vasquez	You do need to, like obviously all the template IDs and
118	1	00:05:48.516	00:05:53.196	Martin Vasquez	versions that you send to METCO have to match the like what you're configuring.
118	2	00:05:53.196	00:05:56.316	Martin Vasquez	So say you needed to do a bandwidth profile change,
118	3	00:05:56.316	00:05:58.596	Martin Vasquez	how would that work on those services?
119	0	00:05:56.876	00:05:59.396	Elena Marchetti	Yeah, exactly. That was what I was going to bring up.
119	1	00:05:59.396	00:06:01.076	Elena Marchetti	That's the other thing that came up.
120	0	00:06:01.876	00:06:05.046	Martin Vasquez	Yeah, because at the moment I assume we'll be
120	1	00:06:05.046	00:06:06.356	Martin Vasquez	mapping him to the.
121	0	00:06:07.876	00:06:08.756	Daniel Okonkwo	SEGMENT-TAG mode.
122	0	00:06:08.276	00:06:09.156	Martin Vasquez	Default mapped.
123	0	00:06:17.236	00:06:18.596	Daniel Okonkwo	Yeah, but I was saying like you've got the.
124	0	00:06:19.956	00:06:20.036	Daniel Okonkwo	The.
125	0	00:06:10.916	00:06:14.692	Martin Vasquez	Like, basically, the default or default mapped has a bunch
125	1	00:06:14.692	00:06:18.020	Martin Vasquez	of templates. PRIORITY-MARK mapped has a bunch of templates,
125	2	00:06:18.020	00:06:21.156	Martin Vasquez	and you'd have to specify the correct templates.
126	0	00:06:22.436	00:06:24.316	Daniel Okonkwo	Yeah, but you can kind of do that based on the
126	1	00:06:24.316	00:06:26.276	Daniel Okonkwo	SEGMENT-TAG mode, right, the enum that we've got there.
127	0	00:06:25.556	00:06:27.236	Rafael Costa (Vendor)	The question that I have as well.
128	0	00:06:28.676	00:06:31.770	Martin Vasquez	It's more that it's it is it's additional work to do for Rafael.
128	1	00:06:31.770	00:06:35.687	Martin Vasquez	There's a mapping there that would need to be need to be done for if you do like
128	2	00:06:35.687	00:06:37.476	Martin Vasquez	a modified bandwidth on that service.
131	0	00:06:38.596	00:06:41.019	Daniel Okonkwo	Fair enough. Sounds like a whole lot of not my problem,
131	1	00:06:41.019	00:06:42.836	Daniel Okonkwo	so I'm just gonna step away from that one.
138	0	00:06:45.956	00:06:50.108	Rafael Costa (Vendor)	Okay, so just a question here: if we have, first of all,
138	1	00:06:50.108	00:06:56.155	Rafael Costa (Vendor)	if we have a service that was initially created on an old template or a different,
138	2	00:06:56.155	00:06:59.652	Rafael Costa (Vendor)	actually, this SEGMENT-TAG tagging is not a modifiable
138	3	00:06:59.652	00:07:03.076	Rafael Costa (Vendor)	attribute, so we cannot move between like a...
143	0	00:07:03.796	00:07:08.279	Rafael Costa (Vendor)	at each speed to a default. This is not a modifiable attribute.
143	1	00:07:08.279	00:07:13.672	Rafael Costa (Vendor)	METCO will reject that type of order, if I'm not mistaken. Just give me a sec,
143	2	00:07:13.672	00:07:16.894	Rafael Costa (Vendor)	maybe just to confirm on this one, on the EU.
143	3	00:07:16.894	00:07:19.556	Rafael Costa (Vendor)	So it's not modifiable for the in ACCESS-VARIANT.
146	0	00:07:21.236	00:07:29.952	Rafael Costa (Vendor)	And same thing for the in wise as well as not modifiable and here as well as not
146	1	00:07:29.952	00:07:35.654	Rafael Costa (Vendor)	modifiable. So basically we cannot move a product or
146	2	00:07:35.654	00:07:39.636	Rafael Costa (Vendor)	a service from between the different.
147	0	00:07:39.756	00:07:40.436	Rafael Costa (Vendor)	Tagging modes.
148	0	00:07:48.036	00:07:48.676	Rafael Costa (Vendor)	Yes.
149	0	00:07:40.756	00:07:43.407	Martin Vasquez	Are you sure though? Because if you specify,
149	1	00:07:43.407	00:07:47.531	Martin Vasquez	that's for that particular product saying it's not modifiable, right?
149	2	00:07:47.531	00:07:50.594	Martin Vasquez	Because it's kind of inherited in that template ID.
149	3	00:07:50.594	00:07:54.836	Martin Vasquez	If you were to specify a different template version, what would happen?
150	0	00:07:57.476	00:08:02.089	Rafael Costa (Vendor)	Okay, this was the other question. Can we, I mean, first,
150	1	00:08:02.089	00:08:08.452	Rafael Costa (Vendor)	these are the whatever METCO support today as a modifiable attributes and I don't
150	2	00:08:08.452	00:08:11.156	Rafael Costa (Vendor)	see the SEGMENT-TAG mode is there at all.
151	0	00:08:15.556	00:08:15.716	Rafael Costa (Vendor)	Mm.
152	0	00:08:10.516	00:08:14.330	Martin Vasquez	Yeah, but that's because your product, if you look on the left-hand side,
152	1	00:08:14.330	00:08:15.876	Martin Vasquez	the product is default mapped.
153	0	00:08:17.956	00:08:18.516	Rafael Costa (Vendor)	Yeah.
154	0	00:08:17.076	00:08:20.196	Martin Vasquez	Right, so, so that it's not modifiable because it's
154	1	00:08:20.196	00:08:24.756	Martin Vasquez	inferred from the template and the template version that you're specifying.
155	0	00:08:24.996	00:08:27.196	Rafael Costa (Vendor)	Correct, correct. OK.
156	0	00:08:32.196	00:08:32.836	Rafael Costa (Vendor)	Yes.
157	0	00:08:26.596	00:08:32.307	Martin Vasquez	So if you were to specify a different template, a PRIORITY-MARK mapped template,
157	1	00:08:32.307	00:08:35.876	Martin Vasquez	would it change to PRIORITY-MARK mapped for instance?
158	0	00:08:36.676	00:08:40.756	Rafael Costa (Vendor)	I don't know if this is supported. I don't know.
159	0	00:08:52.116	00:08:52.676	Rafael Costa (Vendor)	Yeah.
160	0	00:08:42.036	00:08:45.854	Martin Vasquez	But the question is, the question isn't even that we want to
160	1	00:08:45.854	00:08:50.298	Martin Vasquez	do that. It's if we're importing into INVENTORY, existing service, whatever,
160	2	00:08:50.298	00:08:55.244	Martin Vasquez	migrating it in, and it's PRIORITY-MARK mapped, and we do a modified bandwidth profile,
160	3	00:08:55.244	00:08:59.876	Martin Vasquez	where does it map the template parameters from at the moment? And is that
161	0	00:09:00.916	00:09:03.876	Martin Vasquez	Supported for PRIORITY-MARK map services.
162	0	00:09:04.836	00:09:09.160	Rafael Costa (Vendor)	I think the discussion with Elena was we just for now we bring them to the INVENTORY,
162	1	00:09:09.160	00:09:13.156	Rafael Costa (Vendor)	but there is no support to any of the orchestration flows at this stage.
163	0	00:09:14.596	00:09:15.396	Rafael Costa (Vendor)	Right, Elena.
164	0	00:09:17.396	00:09:21.316	Rafael Costa (Vendor)	We, we want to support, OK, OK.
165	0	00:09:14.836	00:09:19.769	Elena Marchetti	No, no, no. That's not my call. That's definitely not my call. Yeah,
165	1	00:09:19.769	00:09:25.274	Elena Marchetti	that would have to be something which we take to our stakeholders to verify.
165	2	00:09:25.274	00:09:30.565	Elena Marchetti	But Marty's making a good point. If we're going to bring the services onto
165	3	00:09:30.565	00:09:34.711	Elena Marchetti	the new platform, there would be an expectation that we'd
165	4	00:09:34.711	00:09:36.356	Elena Marchetti	be able to modify this.
166	0	00:09:36.916	00:09:39.704	Elena Marchetti	or if not, have some process bringing them into a
166	1	00:09:39.704	00:09:43.719	Elena Marchetti	state in which they can be modified. Maybe there's some manual fallout,
166	2	00:09:43.719	00:09:47.120	Elena Marchetti	something needs to happen, then the modifier can go ahead or
166	3	00:09:47.120	00:09:48.236	Elena Marchetti	something like that.
167	0	00:09:50.196	00:09:51.716	Elena Marchetti	You know, we don't want services that...
168	0	00:09:52.916	00:09:54.916	Elena Marchetti	We need a, we need a process, right?
169	0	00:09:55.316	00:09:56.596	Martin Vasquez	To to be honest.
170	0	00:09:52.636	00:09:57.777	Peter Almqvist (Vendor)	Are we not basically then by default, basically then supporting all of these
170	1	00:09:57.777	00:10:01.316	Peter Almqvist (Vendor)	services as part of orchestration then? So are we...
171	0	00:10:00.596	00:10:03.902	Martin Vasquez	Yeah, but to be honest, it's just for the purposes of picking the
171	1	00:10:03.902	00:10:07.860	Martin Vasquez	correct template ID and version that you need to send to METCO for your payload,
171	2	00:10:07.860	00:10:10.916	Martin Vasquez	it's just another column in a lookup table. Like, that's it.
172	0	00:10:13.876	00:10:18.748	Martin Vasquez	There's another column called product default mapped, PRIORITY-MARK mapped,
172	1	00:10:18.748	00:10:23.767	Martin Vasquez	and you just plonk in all the template IDs in the template versions,
172	2	00:10:23.767	00:10:29.076	Martin Vasquez	and a modified bandwidth profile would work against that service, right?
174	0	00:10:30.596	00:10:34.331	Martin Vasquez	That's all METCO kind of cares about, that you're just using the correct
174	1	00:10:34.331	00:10:36.436	Martin Vasquez	template for what you need to configure.
175	0	00:10:35.556	00:10:38.596	Rafael Costa (Vendor)	Yeah, okay, so I'll just show you the.
176	0	00:10:40.356	00:10:42.436	Rafael Costa (Vendor)	This one, one second.
180	0	00:10:50.316	00:10:52.436	Rafael Costa (Vendor)	If I look at the Rosa.
192	0	00:11:11.636	00:11:12.756	Rafael Costa (Vendor)	Sorry, it's a bit slow.
213	0	00:11:47.396	00:11:55.396	Rafael Costa (Vendor)	Sometimes FILE-SHARE is not connecting. One second. Okay, let me get it from here.
217	0	00:11:58.196	00:12:02.356	Rafael Costa (Vendor)	You should have it here somewhere in the DESIGN-DOC.
218	0	00:12:04.916	00:12:05.076	Rafael Costa (Vendor)	Mm.
221	0	00:12:11.316	00:12:11.476	Rafael Costa (Vendor)	Lena.
230	0	00:12:27.156	00:12:27.396	Rafael Costa (Vendor)	Yeah.
241	0	00:12:35.716	00:12:41.179	Rafael Costa (Vendor)	Okay, anyway, we we have like for this, like for every every other template which
241	1	00:12:41.179	00:12:45.643	Rafael Costa (Vendor)	are not the default map, we have a separate sheet with a supported
241	2	00:12:45.643	00:12:50.773	Rafael Costa (Vendor)	supporting other supported templates. I think if we will consider supporting
241	3	00:12:50.773	00:12:55.903	Rafael Costa (Vendor)	all the other types of of templates, we will need to have a another round of
241	4	00:12:55.903	00:12:56.836	Rafael Costa (Vendor)	discussion to.
248	0	00:12:57.316	00:13:03.354	Rafael Costa (Vendor)	To see what are other attributes, maybe, maybe, maybe the only one is is the SEGMENT-TAG,
248	1	00:13:03.354	00:13:08.520	Rafael Costa (Vendor)	the HANDOFF SEGMENT-TAG, like for example, in the other other ones we we have the
248	2	00:13:08.520	00:13:13.686	Rafael Costa (Vendor)	HANDOFF SEGMENT-TAG under the under the ACCESS-CIRCUIT, but this is not available inside the
248	3	00:13:13.686	00:13:15.796	Rafael Costa (Vendor)	default maps, not applicable.
255	0	00:13:16.916	00:13:21.806	Rafael Costa (Vendor)	I don't know if there are other attributes that may be different,
255	1	00:13:21.806	00:13:26.400	Rafael Costa (Vendor)	maybe mostly not, right? But I mean that supporting different
255	2	00:13:26.400	00:13:32.550	Rafael Costa (Vendor)	types of SEGMENT-TAG modes is a decision that we need to take if this is required or not.
255	3	00:13:32.550	00:13:34.996	Rafael Costa (Vendor)	Maybe this is the first question.
258	0	00:13:35.236	00:13:38.423	Rafael Costa (Vendor)	If it is required, then we would need maybe we could kick
258	1	00:13:38.423	00:13:42.820	Rafael Costa (Vendor)	off the discussion around what what what need to be to be added to whatever the
258	2	00:13:42.820	00:13:47.161	Rafael Costa (Vendor)	model or the flows to look up also the other types of template based on the VM
258	3	00:13:47.161	00:13:47.876	Rafael Costa (Vendor)	was selected.
259	0	00:13:50.916	00:13:56.277	Rafael Costa (Vendor)	And same thing about, yeah, maybe a question to Marty. Marty,
259	1	00:13:56.277	00:13:57.796	Rafael Costa (Vendor)	do you know if...
262	0	00:13:59.156	00:14:02.470	Rafael Costa (Vendor)	If we can, like, if we have even in under the SEGMENT-TAG,
262	1	00:14:02.470	00:14:06.103	Rafael Costa (Vendor)	the default maps, if we have a product which is using an
262	2	00:14:06.103	00:14:09.736	Rafael Costa (Vendor)	old template and we have a modify, can we in the modify,
262	3	00:14:09.736	00:14:14.070	Rafael Costa (Vendor)	we can use a new template, right? We don't need to use the existing
262	4	00:14:14.070	00:14:18.596	Rafael Costa (Vendor)	template of the of the original product creation connect order, right?
263	0	00:14:30.356	00:14:30.916	Rafael Costa (Vendor)	Yeah.
264	0	00:14:20.836	00:14:24.332	Martin Vasquez	Yeah, I believe they used to not allow that,
264	1	00:14:24.332	00:14:28.373	Martin Vasquez	but like, how do you then upgrade from one template
264	2	00:14:28.373	00:14:33.735	Martin Vasquez	to another? Yeah, I think, like, your when you, like, as an example,
264	3	00:14:33.735	00:14:37.853	Martin Vasquez	one of the very, very common differences between the
264	4	00:14:37.853	00:14:39.796	Martin Vasquez	templates is when they...
265	0	00:14:41.956	00:14:43.716	Rafael Costa (Vendor)	Correct. Yeah.
266	0	00:14:46.756	00:14:47.236	Rafael Costa (Vendor)	Correct.
267	0	00:14:50.116	00:14:54.596	Rafael Costa (Vendor)	Modify all this, correct, correct.
268	0	00:14:40.116	00:14:43.509	Martin Vasquez	add new bandwidth profiles, they add high speed tiers,
268	1	00:14:43.509	00:14:47.457	Martin Vasquez	they add just whatever, right? And the way to onboard onto that
268	2	00:14:47.457	00:14:52.578	Martin Vasquez	particular template was to just specify it, auto modify, specify the new template,
268	3	00:14:52.578	00:14:57.451	Martin Vasquez	specify the new speed, and away you go. The only thing that you couldn't do is
268	4	00:14:57.451	00:14:59.796	Martin Vasquez	you couldn't do like in-flight amends.
269	0	00:15:04.756	00:15:10.036	Rafael Costa (Vendor)	Yeah, so a lot of them, yeah, correct, correct, correct, yes.
272	0	00:14:59.916	00:15:04.605	Martin Vasquez	onto a different, like you couldn't, yeah, if something was already in progress,
272	1	00:15:04.605	00:15:09.237	Martin Vasquez	you couldn't then change the product template as part of that. You had to like,
272	2	00:15:09.237	00:15:11.726	Martin Vasquez	yeah, either complete that or abandon that
272	3	00:15:11.726	00:15:15.779	Martin Vasquez	order and try again, basically. So that's the only thing that came to
272	4	00:15:15.779	00:15:18.384	Martin Vasquez	mind. That's the issues we used to run into,
272	5	00:15:18.384	00:15:19.716	Martin Vasquez	but I think it's a bit.
273	0	00:15:19.756	00:15:20.916	Martin Vasquez	Better these days, so...
274	0	00:15:30.356	00:15:30.436	Daniel Okonkwo	Ohh.
277	0	00:15:21.156	00:15:32.193	Rafael Costa (Vendor)	Okay, yep, yep. We can modify the templates for created
277	1	00:15:32.193	00:15:34.756	Rafael Costa (Vendor)	NETCO products.
278	0	00:15:36.036	00:15:44.276	Rafael Costa (Vendor)	Um, through modify, um, order, um.
279	0	00:15:45.156	00:15:59.716	Rafael Costa (Vendor)	But we cannot amend the in-flight order to change the templates. An example is to.
280	0	00:16:01.156	00:16:02.996	Rafael Costa (Vendor)	modify bandwidths.
283	0	00:16:04.196	00:16:12.996	Rafael Costa (Vendor)	which to a value that was added in a more recent.
286	0	00:16:14.836	00:16:26.098	Rafael Costa (Vendor)	Template version. OK, question: Can we move or modify,
286	1	00:16:26.098	00:16:32.036	Rafael Costa (Vendor)	modify products changing the.
287	0	00:16:33.916	00:16:35.716	Rafael Costa (Vendor)	The Larsen Tobias.
290	0	00:16:37.076	00:16:41.782	Rafael Costa (Vendor)	I don't think this is supported, but you need to confirm on that one.
290	1	00:16:41.782	00:16:46.220	Rafael Costa (Vendor)	I will check on my end, but is this something that, I don't know,
290	2	00:16:46.220	00:16:49.716	Rafael Costa (Vendor)	Marty or someone can confirm on this from your side?
291	0	00:16:54.676	00:16:55.316	Martin Vasquez	Um.
292	0	00:16:54.436	00:16:56.116	Rafael Costa (Vendor)	Like changing the whole view mode, yeah?
295	0	00:16:56.356	00:16:59.380	Martin Vasquez	I have never said it, I don't know anything about it.
295	1	00:16:59.380	00:17:03.748	Martin Vasquez	It should be in the business rules for all the METCO documentation I would have
295	2	00:17:03.748	00:17:04.196	Martin Vasquez	thought.
296	0	00:17:05.836	00:17:05.956	Daniel Okonkwo	Yeah.
297	0	00:17:05.156	00:17:05.956	Martin Vasquez	That you already have.
298	0	00:17:07.956	00:17:12.041	Rafael Costa (Vendor)	I haven't seen anything like that. I'll, I can ask,
298	1	00:17:12.041	00:17:18.483	Rafael Costa (Vendor)	but I went through the documentation and this wasn't one of the cases I have ever
298	2	00:17:18.483	00:17:18.876	Rafael Costa (Vendor)	seen.
301	0	00:17:19.636	00:17:21.942	Martin Vasquez	Yeah, like I've never done it myself either, so.
301	1	00:17:21.942	00:17:22.036	Martin Vasquez	..
302	0	00:17:25.556	00:17:26.036	Rafael Costa (Vendor)	Okay.
303	0	00:17:28.836	00:17:32.916	Rafael Costa (Vendor)	OK, let us, let us give this one for now. I don't know who can.
306	0	00:17:32.076	00:17:36.428	Elena Marchetti	Are you saying, so for that scenario, are you saying then that you retain the
306	1	00:17:36.428	00:17:39.162	Elena Marchetti	same product template that it was originally on?
306	2	00:17:39.162	00:17:43.236	Elena Marchetti	You changed the SEGMENT-TAG mode on that template, like it's in on the product?
307	0	00:17:44.476	00:17:45.556	Elena Marchetti	Which mean by that one?
310	0	00:17:45.076	00:17:47.864	Rafael Costa (Vendor)	No, the template is like under the same same
310	1	00:17:47.864	00:17:51.892	Rafael Costa (Vendor)	like for default to maps, you could have an old template version
310	2	00:17:51.892	00:17:56.911	Rafael Costa (Vendor)	version 9 and you you want to modify the product to make it version 10 on the on
310	3	00:17:56.911	00:18:01.000	Rafael Costa (Vendor)	the same template, right? Or even another another template within
310	4	00:18:01.000	00:18:02.116	Rafael Costa (Vendor)	the same template.
311	0	00:18:02.276	00:18:06.748	Rafael Costa (Vendor)	VM mode, right? But moving the product from a VM mode to
311	1	00:18:06.748	00:18:08.396	Rafael Costa (Vendor)	another VM mode, I...
314	0	00:18:07.236	00:18:09.476	Elena Marchetti	But the template, change the template type, yep.
319	0	00:18:10.476	00:18:15.797	Rafael Costa (Vendor)	Yeah, it's, but it's not just a, yeah, but it's a template under a different
319	1	00:18:15.797	00:18:19.321	Rafael Costa (Vendor)	category. If you, this sheet is actually from METCO,
319	2	00:18:19.321	00:18:23.605	Rafael Costa (Vendor)	and as you can see, the, actually, maybe I have, no, I moved,
319	3	00:18:23.605	00:18:27.890	Rafael Costa (Vendor)	I think this one is moved, moving to all the other templates,
319	4	00:18:27.890	00:18:30.516	Rafael Costa (Vendor)	could be here, like for example, here.
